               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10664,            0.026222,            0.070346,             0.68768,            0.043358,           0.0084796,           0.0024649,            0.083204,            0.020101,            0.068911,            0.070395,           0.0032895,           0.0032895
                   1,            0.075948,            0.027231,             0.06177,             0.28752,             0.10375,            0.024521,            0.011183,            0.071817,             0.01684,            0.066808,            0.040132,           0.0063605,           0.0063605
                   2,            0.069441,            0.023404,            0.059912,             0.55618,             0.10189,            0.031351,            0.013171,            0.064036,            0.016417,             0.06597,           0.0096062,           0.0091676,           0.0091676
                   3,            0.064037,            0.023159,            0.059332,             0.42802,             0.14193,            0.035989,            0.016923,            0.058872,            0.016364,            0.065253,            0.008812,            0.008812,            0.008812
                   4,            0.058883,            0.022453,            0.058236,             0.36372,             0.15113,            0.042583,            0.021698,            0.057872,             0.01707,             0.06494,            0.008812,            0.008812,            0.008812
                   5,            0.055292,            0.022736,             0.05712,              0.4271,             0.14625,            0.051561,            0.027113,            0.056847,            0.017398,             0.06443,            0.008416,            0.008416,            0.008416
                   6,            0.053816,            0.022019,            0.055976,             0.54791,             0.15058,             0.05831,            0.029957,            0.054129,            0.018109,            0.064102,             0.00802,             0.00802,             0.00802
                   7,            0.053335,            0.022773,            0.055771,             0.64873,             0.16318,            0.065657,            0.035942,            0.053097,            0.017108,            0.063364,            0.007624,            0.007624,            0.007624
                   8,            0.049513,            0.021243,            0.055057,             0.55371,             0.15762,            0.066079,            0.035166,            0.051253,            0.016894,             0.06288,            0.007228,            0.007228,            0.007228
                   9,            0.049299,            0.021343,            0.054504,             0.56393,             0.16316,            0.068525,            0.033479,            0.052631,            0.017836,            0.062952,            0.006832,            0.006832,            0.006832
                  10,            0.047854,            0.020541,             0.05374,              0.5674,             0.14953,            0.075566,            0.044003,            0.051376,            0.016574,            0.062154,            0.006436,            0.006436,            0.006436
                  11,            0.046235,             0.02112,             0.05187,              0.5683,             0.13344,             0.07633,             0.04105,            0.050761,            0.016804,            0.062082,             0.00604,             0.00604,             0.00604
                  12,             0.04668,            0.021375,            0.052325,             0.59109,             0.17107,            0.092672,            0.055582,            0.049877,            0.016516,            0.061423,            0.005644,            0.005644,            0.005644
                  13,            0.045111,             0.02024,            0.049955,             0.55118,             0.14876,            0.085903,            0.049084,            0.048756,            0.016443,            0.061902,            0.005248,            0.005248,            0.005248
                  14,            0.044455,            0.019568,            0.048804,             0.44736,             0.16011,            0.094309,            0.055264,            0.048851,            0.017081,            0.060902,            0.004852,            0.004852,            0.004852
                  15,            0.044213,            0.019731,            0.047872,              0.5739,             0.14534,             0.09789,            0.053776,              0.0489,            0.016525,            0.060373,            0.004456,            0.004456,            0.004456
                  16,            0.042608,            0.019626,            0.046598,             0.57663,             0.14999,             0.11104,            0.064998,            0.047818,             0.01637,            0.059304,             0.00406,             0.00406,             0.00406
                  17,            0.042258,            0.019621,            0.046306,             0.44957,             0.17348,             0.10529,            0.063666,            0.048726,            0.016474,            0.061262,            0.003664,            0.003664,            0.003664
                  18,            0.040393,            0.018815,            0.044234,             0.60928,             0.12922,             0.11085,            0.066975,            0.047904,            0.016423,            0.060537,            0.003268,            0.003268,            0.003268
                  19,            0.040865,             0.01849,            0.043125,             0.64893,             0.13221,             0.11302,            0.065904,            0.047539,            0.016746,            0.060999,            0.002872,            0.002872,            0.002872
                  20,            0.040927,            0.019302,            0.042397,             0.25593,             0.19594,             0.11703,            0.070504,            0.047049,            0.016404,            0.060691,            0.002476,            0.002476,            0.002476
                  21,            0.039641,            0.018446,            0.041428,             0.29837,             0.19895,             0.11548,            0.068814,            0.046682,            0.016516,            0.061152,             0.00208,             0.00208,             0.00208
                  22,            0.038574,            0.017496,            0.040391,             0.24683,              0.1938,             0.11768,            0.070465,            0.047603,             0.01661,            0.060917,            0.001684,            0.001684,            0.001684
                  23,            0.037672,            0.017799,            0.039237,               0.324,             0.19219,             0.12115,             0.07559,            0.047245,            0.016622,            0.059717,            0.001288,            0.001288,            0.001288
                  24,            0.037218,            0.017122,            0.037735,             0.24672,             0.20822,             0.12646,            0.079561,            0.046341,            0.016467,            0.060933,            0.000892,            0.000892,            0.000892
