               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11573,            0.028588,            0.057261,                   0,                   0,                   0,                   0,            0.063105,            0.025629,            0.033124,              0.0937,              0.0007,              0.0007
                   1,            0.095448,            0.032246,             0.05645,            0.009901,                 0.5,           0.0092139,           0.0027642,            0.046008,            0.025697,            0.032071,             0.08649,           0.0014901,           0.0014901
                   2,            0.072379,            0.032186,            0.050196,            0.017544,                   1,             0.18352,            0.060233,             0.03922,            0.023929,            0.032767,             0.07927,           0.0022696,           0.0022696
                   3,            0.064684,             0.03348,             0.04809,            0.015152,                   1,             0.66333,             0.28588,            0.032486,            0.021902,            0.032199,            0.072039,           0.0030386,           0.0030386
                   4,            0.057973,            0.031508,            0.046002,            0.014925,                   1,               0.995,              0.4975,            0.024236,            0.019206,            0.034662,            0.064797,            0.003797,            0.003797
                   5,            0.054885,            0.027124,            0.041826,             0.49791,                   1,               0.745,             0.13269,            0.044903,            0.011861,            0.036566,            0.057545,           0.0045449,           0.0045449
                   6,            0.059957,            0.024356,            0.038822,               0.368,                   1,             0.82833,             0.34391,            0.040304,            0.011678,            0.034259,            0.050282,           0.0052822,           0.0052822
                   7,             0.05577,            0.023984,            0.038032,             0.54733,                   1,             0.66333,             0.39397,            0.040549,           0.0097589,            0.035861,            0.043009,           0.0060089,           0.0060089
                   8,            0.056081,            0.020264,            0.035349,             0.49707,                   1,             0.82833,             0.37301,            0.037223,           0.0088744,            0.034424,            0.035725,           0.0067251,           0.0067251
                   9,            0.055454,            0.020888,            0.035271,             0.36892,                   1,               0.995,             0.48105,             0.03648,           0.0077946,            0.033014,            0.028431,           0.0074307,           0.0074307
                  10,            0.052505,            0.020707,            0.033101,             0.60781,                   1,               0.995,             0.52238,            0.031311,           0.0085812,            0.030826,            0.021126,           0.0081258,           0.0081258
                  11,            0.056899,            0.016715,            0.033392,               0.902,                   1,               0.995,             0.59675,            0.025654,            0.007658,            0.026962,             0.01381,           0.0088103,           0.0088103
                  12,            0.056739,            0.017343,            0.030369,             0.43527,                   1,              0.4975,             0.37324,            0.038502,           0.0063319,            0.026587,            0.009208,            0.009208,            0.009208
                  13,            0.054276,            0.018037,            0.029271,             0.48989,                   1,               0.995,             0.54725,            0.025446,           0.0077765,            0.025552,            0.009208,            0.009208,            0.009208
                  14,            0.053883,            0.015134,            0.026283,             0.63946,                   1,               0.995,             0.37812,             0.03819,           0.0068386,            0.015285,            0.009142,            0.009142,            0.009142
                  15,            0.049682,            0.014985,            0.024757,             0.61619,                   1,             0.82833,             0.34807,            0.024099,           0.0070529,             0.01506,            0.009076,            0.009076,            0.009076
                  16,            0.047557,            0.015639,            0.024333,             0.47559,                   1,               0.745,             0.36066,            0.031387,           0.0073452,             0.01555,             0.00901,             0.00901,             0.00901
                  17,             0.04343,            0.013258,            0.022956,             0.48736,                   1,               0.745,              0.4225,            0.027377,           0.0069478,            0.010863,            0.008944,            0.008944,            0.008944
                  18,            0.047191,            0.012493,            0.022069,             0.38316,                   1,               0.745,              0.3725,            0.032266,           0.0058823,            0.009304,            0.008878,            0.008878,            0.008878
                  19,            0.047768,            0.014333,            0.018954,               0.596,                   1,             0.82833,             0.27786,            0.031834,           0.0060406,           0.0043007,            0.008812,            0.008812,            0.008812
                  20,            0.043074,            0.012734,            0.016633,                   1,             0.94476,               0.995,             0.54749,            0.034867,           0.0066364,            0.003986,            0.008746,            0.008746,            0.008746
                  21,            0.041103,            0.012594,            0.019934,             0.99478,                   1,               0.995,              0.8955,            0.015289,           0.0071151,           0.0040936,             0.00868,             0.00868,             0.00868
                  22,             0.04072,            0.012842,            0.017455,             0.66589,             0.99767,             0.82833,             0.54828,            0.021283,           0.0062912,             0.02037,            0.008614,            0.008614,            0.008614
